STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-02,50,60,11.41,1752,1716,0,0,0,,59,41,,300,,,270,,,19.9,,,27.5,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-03,50,10,11.18,950,1031,0,0,0,,60,47,,40,,,360,,,16.1,,,23,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-04,90,100,14.09,2250,2327,0.72,0,0,,52,43,,110,,,135,,,21.9,,,34.4,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-05,90,100,20.58,1225,1122,2.15,0,0,,54,45,,160,,,135,,,29.1,,,46.1,,1,1,1,,,,,,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-06,70,70,13.42,2250,2328,0,0,0,,56,44,,260,,,270,,,17,,,26.4,,1,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-07,80,90,17.67,2050,2030,0,0,0,,53,42,,330,,,315,,,23,,,30,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-08,20,40,16.33,1652,1551,0,0,0,,55,40,,20,,,360,,,21,,,28.9,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-09,10,20,11.41,450,1737,0,0,0,,52,35,,20,,,180,,,16.1,,,24.2,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-10,40,20,16.11,1151,2130,0,0,0,,56,36,,360,,,45,,,23,,,34.4,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-11,70,60,10.96,1023,10,0,0,0,,58,39,,30,,,45,,,16.1,,,20.8,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-12,40,30,10.51,1850,1542,0,0,0,,62,45,,210,,,225,,,17,,,20.8,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-13,80,90,12.75,1550,1630,0.03,0,0,,52,46,,110,,,90,,,17,,,25.3,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-14,100,100,14.76,2251,2031,0.67,0,0,,47,44,,70,,,90,,,21,,,32.2,,1,,,,,,,1,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-15,100,100,14.32,422,200,0.35,0,0,,51,45,,60,,,90,,,21,,,26.4,,1,,,,,,,1,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-16,100,90,14.09,351,144,1.37,0,0,,60,47,,80,,,45,,,25.1,,,32.2,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-17,30,20,11.86,1750,1558,0,0,0,,58,47,,180,,,180,,,23,,,30,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-18,50,50,8.05,1651,2044,0,0,0,,65,46,,260,,,225,,,16.1,,,19.5,,1,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-19,100,100,9.84,910,1301,0,0,0,,54,46,,100,,,90,,,14.1,,,18.3,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-20,60,70,12.3,1750,1335,0,0,0,,62,46,,320,,,315,,,17,,,28.9,,1,,,,,,,1,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-21,10,20,19.91,1150,1233,0,0,0,,62,45,,330,,,315,,,29.1,,,40.3,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-22,70,90,14.76,750,726,0,0,0,,49,37,,40,,,45,,,21,,,34.4,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-23,100,100,12.75,1554,1540,0.46,0,0,,52,40,,60,,,45,,,23,,,27.5,,1,,,1,,,,,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-24,100,100,15.21,2051,2050,0,0,0,,55,48,,280,,,270,,,25.1,,,30,,1,1,,,,,,1,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-25,90,100,18.34,1751,1627,0,0,0,,61,49,,330,,,315,,,29.1,,,34.4,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-26,20,20,11.41,1353,1438,0,0,0,,74,50,,20,,,360,,,21,,,30,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-27,10,10,9.4,1550,1403,0,0,0,,63,46,,170,,,180,,,15,,,19.5,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-28,50,60,7.61,1350,1358,0.06,0,0,,63,48,,240,,,225,,,15,,,18.3,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-29,40,40,12.08,1851,1843,0,0,0,,68,54,,200,,,225,,,17.9,,,23,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-04-30,80,90,13.65,1851,1839,0.01,0,0,,64,54,,190,,,180,,,28,,,28.9,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-05-01,10,20,20.58,1752,1535,0,0,0,,69,55,,290,,,270,,,30,,,41.4,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-05-02,60,60,13.2,1350,1248,0,0,0,,67,52,,260,,,270,,,19.9,,,28.9,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-05-03,80,100,11.86,2150,2117,0.34,0,0,,61,49,,100,,,90,,,21.9,,,30,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-05-04,90,90,18.12,2250,2101,0.31,0,0,,67,53,,310,,,270,,,31.1,,,36.7,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-05-05,60,60,16.55,751,941,0,0,0,,69,54,,300,,,315,,,25.1,,,34.4,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-05-06,60,80,8.05,1251,1343,0,0,0,,66,50,,170,,,180,,,15,,,16.1,,,,,,,,,,,,,,,,,,,,,
